type	name	tbl_name	rootpage	sql
table	_process_available_info_summary	_process_available_info_summary	0	CREATE VIRTUAL TABLE _process_available_info_summary USING runtime_table
table	android_gpu_work_period_track	android_gpu_work_period_track	0	CREATE VIRTUAL TABLE android_gpu_work_period_track USING runtime_table
table	linux_kernel_threads	linux_kernel_threads	0	CREATE VIRTUAL TABLE linux_kernel_threads USING runtime_table
table	_kernel_threads	_kernel_threads	0	CREATE VIRTUAL TABLE _kernel_threads USING runtime_table
table	_threads_with_kernel_flag	_threads_with_kernel_flag	0	CREATE VIRTUAL TABLE _threads_with_kernel_flag USING runtime_table
table	_raw_dmabuf_events	_raw_dmabuf_events	0	CREATE VIRTUAL TABLE _raw_dmabuf_events USING runtime_table
table	_gralloc_binders	_gralloc_binders	0	CREATE VIRTUAL TABLE _gralloc_binders USING runtime_table
table	_attributed_dmabufs	_attributed_dmabufs	0	CREATE VIRTUAL TABLE _attributed_dmabufs USING runtime_table
table	android_dmabuf_allocs	android_dmabuf_allocs	0	CREATE VIRTUAL TABLE android_dmabuf_allocs USING runtime_table
table	_android_memory_cumulative_dmabuf	_android_memory_cumulative_dmabuf	0	CREATE VIRTUAL TABLE _android_memory_cumulative_dmabuf USING runtime_table
table	package_name_lookup	package_name_lookup	0	CREATE VIRTUAL TABLE package_name_lookup USING runtime_table
table	android_suspend_state	android_suspend_state	0	CREATE VIRTUAL TABLE android_suspend_state USING runtime_table
table	_android_kernel_wakelocks_base	_android_kernel_wakelocks_base	0	CREATE VIRTUAL TABLE _android_kernel_wakelocks_base USING runtime_table
table	_android_kernel_wakelocks_joined	_android_kernel_wakelocks_joined	0	CREATE VIRTUAL TABLE _android_kernel_wakelocks_joined
USING
  span_join(_android_kernel_wakelocks_base partitioned name_int, android_suspend_state)
table	android_kernel_wakelocks	android_kernel_wakelocks	0	CREATE VIRTUAL TABLE android_kernel_wakelocks USING runtime_table
table	android_charging_states	android_charging_states	0	CREATE VIRTUAL TABLE android_charging_states USING runtime_table
table	android_light_idle_state	android_light_idle_state	0	CREATE VIRTUAL TABLE android_light_idle_state USING runtime_table
table	android_deep_idle_state	android_deep_idle_state	0	CREATE VIRTUAL TABLE android_deep_idle_state USING runtime_table
table	android_screen_state	android_screen_state	0	CREATE VIRTUAL TABLE android_screen_state USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Screen_state	__query_slice_track__long_battery_tracing_Device_State_Screen_state	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Screen_state USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Charging	__query_slice_track__long_battery_tracing_Device_State_Charging	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Charging USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Suspend_resume	__query_slice_track__long_battery_tracing_Device_State_Suspend_resume	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Suspend_resume USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Doze_light_state	__query_slice_track__long_battery_tracing_Device_State_Doze_light_state	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Doze_light_state USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Doze_deep_state	__query_slice_track__long_battery_tracing_Device_State_Doze_deep_state	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Doze_deep_state USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Long_wakelocks	__query_slice_track__long_battery_tracing_Device_State_Long_wakelocks	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Long_wakelocks USING runtime_table
table	__query_slice_track__long_battery_tracing_Device_State_Foreground_apps	__query_slice_track__long_battery_tracing_Device_State_Foreground_apps	0	CREATE VIRTUAL TABLE __query_slice_track__long_battery_tracing_Device_State_Foreground_apps USING runtime_table
table	_uid_package_count	_uid_package_count	0	CREATE VIRTUAL TABLE _uid_package_count USING runtime_table
table	_android_package_for_process	_android_package_for_process	0	CREATE VIRTUAL TABLE _android_package_for_process USING runtime_table_function
table	android_process_metadata	android_process_metadata	0	CREATE VIRTUAL TABLE android_process_metadata USING runtime_table
table	_frames_maxsdk_28	_frames_maxsdk_28	0	CREATE VIRTUAL TABLE _frames_maxsdk_28 USING runtime_table
table	_get_frame_table_with_id	_get_frame_table_with_id	0	CREATE VIRTUAL TABLE _get_frame_table_with_id USING runtime_table_function
table	android_frames_choreographer_do_frame	android_frames_choreographer_do_frame	0	CREATE VIRTUAL TABLE android_frames_choreographer_do_frame USING runtime_table
